,sigma_e,share_sigma_e
ACCVAR_NORM_g6_log1p,0.4192138540862488,0.2652864657439824
VR_AREA_DEF_5_50_D2,0.41841693247996986,0.23478154828281259
MA5_VAR_over_RV1_D2,0.416740146467131,0.24876266716560658
ACFCONTR_L5_D2_minus_D1,0.41577453213004606,0.2455493207031801
ACC3VAR_NORM_g4_log1p,0.4151027126742491,0.23528120219620413
ACFCONTR_L4_D2_minus_D1,0.4059922673101435,0.22796117894679235
VR_AREA_DEF_5_50_D5,0.4055312108410704,0.2632154888782523
ACC3_OVER_ACC2_RATIO_g6_log1p,0.40235795692358983,0.2570291383043252
MA8_VAR_over_RV1_D8,0.4002995255490274,0.2693663990254384
ACC3VAR_NORM_g6_log1p,0.3929133810060951,0.24015350459095985
ACFCONTR_L3_D5_minus_D1,0.3914210539011474,0.22092853723306524
MA8_VAR_over_RV1_D2,0.3848330934888562,0.2419711258675749
ACFCONTR_L3_D8_minus_D1,0.3795464242333725,0.22477475827457272
VR10_D2,0.37817100110797724,0.23836879408834363
VR50_D2,0.376545160998555,0.2370099283617414
MA3_VAR_over_RV1_D5,0.37181574648405136,0.24094438830228948
MA3_RESID_VAR_log1p,0.370803950916228,0.2861221186305729
ACF_LAG1_D5,0.3682818506856345,0.23926437091145328
ACFCONTR_L4_D5_minus_D1,0.3600922926183305,0.22100214728354645
VR10_D5,0.35983312919332255,0.24692291288439464
MA5_VAR_over_RV1_D8,0.35857572225924267,0.2538112839174396
MA8_VAR_over_RV1_D5,0.3538236433853144,0.24461429332516538
MA5_VAR_over_RV1_D5,0.35321495649985796,0.24401223252769902
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.3370146205947495,0.25811401297239095
MA3_VAR_over_RV1_D8,0.33511669477453854,0.24264742027230413
ACFCONTR_L4_D8_minus_D1,0.3328650927099554,0.23101583433815884
ACF_LAG3_Z,0.32242782810355686,0.25749273427774905
ACFCONTR_L5_D5_minus_D1,0.32211619800608127,0.23155760781518062
ACF_LAG1_D8,0.32149186017888426,0.2427234924136685
ACFCONTR_L5_D8_minus_D1,0.3155857931169074,0.2491532726356131
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.3109034641420359,0.2510855784001048
LOG_a,0.3082654043272454,0.2636995325412095
HALF_LOG_a,0.3082654043272454,0.2636995325412095
ACC3VAR_NORM_g2_log1p,0.30499152638663857,0.24998712381560315
ACF_LAG5_D2,0.29406613283895333,0.285106634450088
VR_SLOPE_10_50,0.2923522618507121,0.2393211530423335
VR_CURV_10_30_50,0.29070660374289037,0.24603853647249607
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.28824851146238845,0.23647942446116477
HAAR_v2_over_RV1_log1p,0.2740672561343058,0.2256651023319186
ACCVAR_NORM_g2_log1p,0.25429668655008086,0.21923104166989538
PROXY_a_sqrtNegLogRatio_31_log1p,0.2518674208039372,0.25835421831533534
PROXY_a_sqrtNegLogRatio_21_log1p,0.24772822067454262,0.24818311846069918
ACF_LAG2_D5,0.24671428240112572,0.23335746598194476
ACF_LAG2_D2,0.24622960727188556,0.22517071026418517
ACF_LAG4_Z,0.24511000101665334,0.25232590039928493
ACF_LAG4_D2,0.21233619295079317,0.250302051790316
ACF_LAG5_Z,0.2122388648550812,0.2432340358301762
ACF_LAG3_D2,0.1985589118895543,0.2225704480997262
NEG_ACF_MASS_L1_5_log1p,0.15703444817443063,0.15893846662834007
LOG_deltaHat31,0.10478116228466448,0.061178441323904674
HALF_LOG_deltaHat31,0.10478116228466448,0.061178441323904674
HL_PROXY31_log1p,0.08832095088107474,0.062003885946962746
HL_PROXY21_log1p,0.06774633651519335,0.052565249594016566
HALF_LOG_deltaHat21,0.05748746548046436,0.05151164278033611
LOG_deltaHat21,0.05748746548046436,0.05151164278033611
VR_AREA_DEF_5_50_log1p,0.0,0.0
