,sigma_eta,share_sigma_eta
MA5_VAR_over_RV1_D5,0.3020035966556533,0.20863378091796725
VR10_D5,0.30162627066358455,0.2069804898778376
MA8_VAR_over_RV1_D8,0.30075228327831016,0.202379854021173
MA8_VAR_over_RV1_D5,0.30012862992940453,0.20749250110706005
ACC3VAR_NORM_g2_log1p,0.29817632888031936,0.24440102887380397
VR_SLOPE_10_50_D2,0.29725749635685794,0.19972530568844488
MA5_VAR_over_RV1_D8,0.28867734094403286,0.20433498977910472
ACFCONTR_L4_D8_minus_D1,0.28532194152418966,0.19801982190312944
BP_HF_log1p,0.282353886662465,0.23266534459298407
MA3_VAR_over_RV1_D8,0.2805372227433752,0.20312814744975427
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.2803932228459788,0.21474860595458986
ACFCONTR_L5_D5_minus_D1,0.26605346722539797,0.19125615167134385
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.2646677844175306,0.21374565226455747
ACF_LAG1_D8,0.26329890244458987,0.19878832737624072
ACFCONTR_L5_D8_minus_D1,0.25928064937546885,0.2047006669246799
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.2555037141987263,0.20961555351965347
HAAR_v2_over_RV1_log1p,0.25537523834146664,0.21027422285398487
VR_CURV_10_30_50,0.2553298804018532,0.21609756807358318
RV1_log1p,0.2504309739630494,0.17560422517105254
ACCVAR_NORM_g2_log1p,0.24242942757667282,0.209000190525894
VR_SLOPE_10_50,0.24046836107828037,0.19684870942726407
PROXY_a_sqrtNegLogRatio_21_log1p,0.2403423596941132,0.24078369498908603
HALF_LOG_a,0.2316052791666119,0.1981221473217193
LOG_a,0.2316052791666119,0.1981221473217193
ACF_LAG2_D2,0.2274644358033762,0.20801043845687223
PROXY_a_sqrtNegLogRatio_31_log1p,0.22639785738994705,0.2322286911405582
ACF_LAG4_Z,0.22191823920261383,0.2284513862737855
ACF_LAG5_D2,0.218994916437859,0.21232266015981546
ACF_LAG5_Z,0.19328823526980965,0.22151587351953764
ACF_LAG2_D5,0.18717777145467543,0.17704419059044857
ACF_LAG3_D2,0.1635480967609191,0.18332580912904425
ACF_LAG4_D2,0.162909036540924,0.19203728547034085
BP_MID_log1p,0.13516180818690313,0.11850848824764385
COV_LAG2,0.12787003993369322,0.08228663413560255
COV_LAG5,0.1234567863811049,0.09790800770651512
COV_LAG3,0.12144263152996274,0.08090678023297744
COV_LAG1,0.11902322468436327,0.08185261467833065
COV_LAG4,0.11612881236649875,0.08375142404737196
MA3_VAR_log1p,0.09918505458674463,0.07724852090838077
NEG_ACF_MASS_L1_5_log1p,0.09072106286203926,0.09182104175110271
HALF_LOG_deltaHat31,0.06788254116406223,0.039634491267052305
LOG_deltaHat31,0.06788254116406223,0.039634491267052305
MA5_VAR_log1p,0.061034326641497084,0.050697405917338276
HL_PROXY31_log1p,0.05895742220372639,0.04138983158106027
MA3_VAR_D2,0.05176968955961072,0.04363561449845189
HL_PROXY21_log1p,0.044825721660389894,0.034780851165020145
MA8_VAR_log1p,0.03968518558942754,0.034254597339415674
HALF_LOG_deltaHat21,0.03383543931167068,0.03031824500474469
LOG_deltaHat21,0.03383543931167068,0.03031824500474469
MA5_VAR_D2,0.0325105118863969,0.028323620266270822
MA3_VAR_D5,0.025533461720887645,0.022949822302603937
MA8_VAR_D2,0.02482465816893329,0.021920757671815304
BP_LF_log1p,0.022396593671847275,0.021365840467548122
MA3_VAR_D8,0.019441910120876187,0.01731416946699577
MA5_VAR_D5,0.01877968553216217,0.01681791788272891
MA8_VAR_D5,0.015669766413302814,0.014565621871050845
MA5_VAR_D8,0.015651328319990918,0.014548642475257171
MA8_VAR_D8,0.014992038667095173,0.014089030088967633
VARFIT_SLOPE_10_50,0.013278182803256348,0.012467701186229032
VARFIT_TS_SLOPE_10_50,0.01318091460613723,0.012442814770557878
VR_AREA_DEF_5_50_log1p,0.0,0.0
