sigma_e,sigma_eta,delta,kappa,log10_kappa
0.005,0.021659040291327404,0.65,78.94285313216524,1.8973128185019037
0.005,0.021659040291327404,0.725,77.67476018544147,1.8902799210798897
0.005,0.021659040291327404,0.8,74.38899576404712,1.8715086958628824
0.005,0.02549061020728657,0.05,5.095795075419995,0.707211954766114
0.005,0.02549061020728657,0.125,3.566410126334206,0.5522312842577485
0.005,0.02549061020728657,0.2,10.07304459717534,1.0031607567409229
0.005,0.02549061020728657,0.27499999999999997,9.878715196274001,0.9947004648860105
0.005,0.02549061020728657,0.35,25.808674408256575,1.4117656987723182
0.005,0.02549061020728657,0.425,44.993610609506135,1.6531508454631139
0.005,0.02549061020728657,0.49999999999999994,53.159309698564066,1.7255793327663498
0.005,0.02549061020728657,0.5750000000000001,60.27428604517253,1.780132074819242
0.005,0.02549061020728657,0.65,54.73865175546522,1.7382940962824958
0.005,0.02549061020728657,0.725,56.77387598755153,1.7541485447898588
0.005,0.02549061020728657,0.8,60.39806218118041,1.7810230048873426
0.005,0.03,0.05,11.699315120765164,1.0681604388420287
0.005,0.03,0.125,31.46544486705363,1.4978338763009138
0.005,0.03,0.2,12.264856792574994,1.0886624816449284
0.005,0.03,0.27499999999999997,16.636865040434706,1.221071493594818
0.005,0.03,0.35,20.87703666375442,1.3196688539129697
0.005,0.03,0.425,34.865028178941465,1.5423900205506558
0.005,0.03,0.49999999999999994,40.182777040007814,1.6040399476306269
0.005,0.03,0.5750000000000001,43.43225511289511,1.6378123796191932
0.005,0.03,0.65,44.54364248476008,1.648785727883265
0.005,0.03,0.725,46.831526965898135,1.6705383184067282
0.005,0.03,0.8,48.85796978520786,1.6889354165997572
0.01,0.005,0.05,49.023502445680016,1.6904043358531065
0.01,0.005,0.125,71.78393138381625,1.8560272396135888
0.01,0.005,0.2,94.02094645516462,1.973224618668725
0.01,0.005,0.27499999999999997,203.77362663194873,2.309147974815719
0.01,0.005,0.35,185.52504297785515,2.2684025408675774
0.01,0.005,0.425,550.6641134573182,2.74088677461948
0.01,0.005,0.49999999999999994,1431.7055900514904,3.1558537206523427
0.01,0.005,0.5750000000000001,1517.6132339507033,3.181161105048967
0.01,0.005,0.65,10527.045124285192,4.022306484546739
0.01,0.005,0.725,2579.4091311221946,3.411520232908173
0.01,0.005,0.8,340.77605158116444,2.5324690666357386
0.01,0.005884519781214263,0.05,55.949119344960344,1.747793254999593
0.01,0.005884519781214263,0.125,92.6743982833514,1.966959774922065
0.01,0.005884519781214263,0.2,150.39316629090405,2.1772281028142797
0.01,0.005884519781214263,0.27499999999999997,362.7255249749784,2.5595781179342714
0.01,0.005884519781214263,0.35,855.7824049440097,2.9323633530590154
0.01,0.005884519781214263,0.425,914.244209977991,2.961062218577956
0.01,0.005884519781214263,0.49999999999999994,1846.3662698070732,3.266317857674475
0.01,0.005884519781214263,0.5750000000000001,287.38683362446295,2.4584668674334718
0.01,0.005884519781214263,0.65,382.67211833588055,2.5828268204842564
0.01,0.005884519781214263,0.725,2613.995008065312,3.417304753875069
0.01,0.005884519781214263,0.8,332.2910638004985,2.5215186620902768
0.01,0.006925514611100392,0.05,61.63189279312713,1.789805505666544
0.01,0.006925514611100392,0.125,105.59761498147184,2.023654109371248
0.01,0.006925514611100392,0.2,812.1520765182845,2.9096373590548867
0.01,0.006925514611100392,0.27499999999999997,445.64177373767126,2.6489858941347633
0.01,0.006925514611100392,0.35,691.2255436429298,2.839619778744846
0.01,0.006925514611100392,0.425,343.75247305965786,2.536245831295917
0.01,0.006925514611100392,0.49999999999999994,582.5510860005955,2.765334016213647
0.01,0.006925514611100392,0.5750000000000001,40.60782578554759,1.6086097372217019
0.01,0.006925514611100392,0.65,956.9234264474319,2.9808771866777155
0.01,0.006925514611100392,0.725,444.5725757931065,2.6479426690038474
0.01,0.006925514611100392,0.8,269.5491723192477,2.43063800261713
0.01,0.008150665544821734,0.05,162.26545075069663,2.2102260605188824
0.01,0.008150665544821734,0.125,225.6498069164631,2.3534349662401643
0.01,0.008150665544821734,0.2,559.1422623781342,2.747522319344971
0.01,0.008150665544821734,0.27499999999999997,3659.6526723738184,3.563439869648711
0.01,0.008150665544821734,0.35,256.70034901845463,2.409426459153274
0.01,0.008150665544821734,0.425,180.46406316733422,2.25639073132759
0.01,0.008150665544821734,0.49999999999999994,1265.8515119304564,3.102382764661295
0.01,0.008150665544821734,0.5750000000000001,587.13299017093,2.768736483454933
0.01,0.008150665544821734,0.65,630.5737201641535,2.7997358671008827
0.01,0.008150665544821734,0.725,449.55282459343886,2.6527807307333697
0.01,0.008150665544821734,0.8,280.43893598277566,2.4478383106803103
0.01,0.009592550525713006,0.05,125.40246385432633,2.098306069411972
0.01,0.009592550525713006,0.125,349.24532488168046,2.5431306012094748
0.01,0.009592550525713006,0.2,206.5822963222096,2.3150931006346505
0.01,0.009592550525713006,0.27499999999999997,194.5434746678238,2.2890166683791167
0.01,0.009592550525713006,0.35,400.07608750319827,2.602142594428834
0.01,0.009592550525713006,0.425,271.024531183429,2.433008601853862
0.01,0.009592550525713006,0.49999999999999994,305.4540424851024,2.4849458771103783
0.01,0.009592550525713006,0.5750000000000001,579.342964852685,2.762935737555706
0.01,0.009592550525713006,0.65,743.4458961281547,2.8712493684625966
0.01,0.009592550525713006,0.725,413.5818467284122,2.6165614680967684
0.01,0.009592550525713006,0.8,268.2890341786534,2.428602922045677
0.01,0.011289510664171094,0.05,167.00615808248907,2.222732485350793
0.01,0.011289510664171094,0.125,162.42612274385354,2.210655877436944
0.01,0.011289510664171094,0.2,171.365091579476,2.233922357386124
0.01,0.011289510664171094,0.27499999999999997,119.60687662081764,2.077756149490369
0.01,0.011289510664171094,0.35,104.68162267212216,2.0198704460282815
0.01,0.011289510664171094,0.425,176.7229091656638,2.24729285216281
0.01,0.011289510664171094,0.49999999999999994,379.53831297728397,2.579255622852746
0.01,0.011289510664171094,0.5750000000000001,310.2473396921154,2.4917080661998154
0.01,0.011289510664171094,0.65,285.8517101134936,2.4561407947333667
0.01,0.011289510664171094,0.725,290.40203045805725,2.462999648576428
0.01,0.011289510664171094,0.8,320.3743207249881,2.50565769837856
0.01,0.013286669764708835,0.05,32.32101462841809,1.5094849857846846
0.01,0.013286669764708835,0.125,35.81408368485282,1.554053844069179
0.01,0.013286669764708835,0.2,62.94604477327042,1.7989684463245923
0.01,0.013286669764708835,0.27499999999999997,59.53563118418959,1.7747769622856382
0.01,0.013286669764708835,0.35,86.30646860973438,1.9360433470041292
0.01,0.013286669764708835,0.425,176.0509295872216,2.2456383225816356
0.01,0.013286669764708835,0.49999999999999994,248.53420711991984,2.3953861715040485
0.01,0.013286669764708835,0.5750000000000001,239.9969574046946,2.380205735916907
0.01,0.013286669764708835,0.65,194.50315759017377,2.2889266561134356
0.01,0.013286669764708835,0.725,195.85685306225938,2.291938772182343
0.01,0.013286669764708835,0.8,176.36003199118323,2.2464001689340143
0.01,0.015637134211378124,0.05,32.71136051074884,1.5146986074090913
0.01,0.015637134211378124,0.125,34.322301748410176,1.5355764051415082
0.01,0.015637134211378124,0.2,22.950418086263667,1.3607906014594855
0.01,0.015637134211378124,0.27499999999999997,45.36201270467969,1.6566923158836118
0.01,0.015637134211378124,0.35,143.1560867559481,2.155809818220857
0.01,0.015637134211378124,0.425,125.76663651928723,2.099565446377102
0.01,0.015637134211378124,0.49999999999999994,145.0708112863596,2.1615800397812346
0.01,0.015637134211378124,0.5750000000000001,150.3191674531951,2.1770143617473083
0.01,0.015637134211378124,0.65,172.59098525273873,2.2370181079653157
0.01,0.015637134211378124,0.725,166.42804933607826,2.2212265229480286
0.01,0.015637134211378124,0.8,162.98182572131572,2.212139178459132
0.01,0.018403405117671374,0.05,40.847333438157435,1.6111637105405703
0.01,0.018403405117671374,0.125,20.48518547785552,1.3114399005149115
0.01,0.018403405117671374,0.2,19.967530257829043,1.3003243512138483
0.01,0.018403405117671374,0.27499999999999997,22.56003883868266,1.353339842980234
0.01,0.018403405117671374,0.35,85.22962056768401,1.930590555018594
0.01,0.018403405117671374,0.425,79.31961252009725,1.8993805839902163
0.01,0.018403405117671374,0.49999999999999994,108.95672989266346,2.0372540603278577
0.01,0.018403405117671374,0.5750000000000001,122.26638481481004,2.0873070711318067
0.01,0.018403405117671374,0.65,134.9931723943548,2.1303118035584068
0.01,0.018403405117671374,0.725,123.87702284613914,2.092990759349987
0.01,0.018403405117671374,0.8,118.97032956365868,2.0754386646408385
0.01,0.021659040291327404,0.05,18.68669656297466,1.2715325335204024
0.01,0.021659040291327404,0.125,9.429585585263945,0.9744926066304462
0.01,0.021659040291327404,0.2,30.793722359168104,1.4884621897909784
0.01,0.021659040291327404,0.27499999999999997,23.196741952633975,1.3654269912980042
0.01,0.021659040291327404,0.35,39.782470139927646,1.5996917454760664
0.01,0.021659040291327404,0.425,69.60071466170615,1.8426136989789808
0.01,0.021659040291327404,0.49999999999999994,96.17414263567834,1.983058323387966
0.01,0.021659040291327404,0.5750000000000001,96.40405560553798,1.9840953045465748
0.01,0.021659040291327404,0.65,96.50584537810914,1.9845536194430016
0.01,0.021659040291327404,0.725,98.11155249300803,1.9917201479362274
0.01,0.021659040291327404,0.8,109.13363774664305,2.037958631762823
0.01,0.02549061020728657,0.05,10.913528716242931,1.0379651955205789
0.01,0.02549061020728657,0.125,11.279711497965833,1.0522979918065627
0.01,0.02549061020728657,0.2,7.869888461858214,0.8959685772456255
0.01,0.02549061020728657,0.27499999999999997,16.388100343651573,1.214528614456157
0.01,0.02549061020728657,0.35,32.9468105549769,1.5178133787049166
0.01,0.02549061020728657,0.425,70.81800276970243,1.8501436744931408
0.01,0.02549061020728657,0.49999999999999994,72.34591187368633,1.8594139950146689
0.01,0.02549061020728657,0.5750000000000001,76.04170184438733,1.8810518279902981
0.01,0.02549061020728657,0.65,77.71249899950229,1.8904908747849543
0.01,0.02549061020728657,0.725,73.10491514920734,1.8639465773739627
0.01,0.02549061020728657,0.8,70.280717043526,1.846836183763184
0.01,0.03,0.05,15.22752922153505,1.182629441582702
0.01,0.03,0.125,3.937984214956408,0.5952739709765361
0.01,0.03,0.2,6.948506590950655,0.8418914737984051
0.01,0.03,0.27499999999999997,24.342895382885597,1.3863722326461316
0.01,0.03,0.35,51.81893531430683,1.7144884856109863
0.01,0.03,0.425,46.297817370277336,1.6655605174458608
0.01,0.03,0.49999999999999994,56.036916039869325,1.748474226119062
0.01,0.03,0.5750000000000001,58.62771496157256,1.7681029677150903
0.01,0.03,0.65,57.09517014350516,1.7565993714902968
0.01,0.03,0.725,57.8921594870143,1.7626197498743175
0.01,0.03,0.8,58.61316605493295,1.767995180911563
0.015,0.005,0.05,49.43458331063053,1.694030877793131
0.015,0.005,0.125,142.04647698029635,2.152430466872819
0.015,0.005,0.2,111.02697490670556,2.0454285069838023
0.015,0.005,0.27499999999999997,145.0913592657716,2.161641549343772
0.015,0.005,0.35,216.4455139028595,2.3353485889598775
0.015,0.005,0.425,184.82449963140053,2.2667595391215998
0.015,0.005,0.49999999999999994,528.2482347708846,2.722838054459713
0.015,0.005,0.5750000000000001,446.25323110478837,2.6495813736488767
0.015,0.005,0.65,280.09601456152916,2.4473069293653396
0.015,0.005,0.725,125.78381077236882,2.099624748067368
0.015,0.005,0.8,197.33716259987767,2.2952088794349863
0.015,0.005884519781214263,0.05,57.778068119382986,1.7617630165819391
0.015,0.005884519781214263,0.125,73.17209316260262,1.8643454786491616
0.015,0.005884519781214263,0.2,108.09249945508708,2.033795559279106
0.015,0.005884519781214263,0.27499999999999997,217.3168813786508,2.3370934640325776
0.015,0.005884519781214263,0.35,92.97889051418923,1.9683843595880857
0.015,0.005884519781214263,0.425,92.85414033167064,1.9678012735373867
0.015,0.005884519781214263,0.49999999999999994,113.38144782741013,2.0545419984252837
0.015,0.005884519781214263,0.5750000000000001,577.5654190310398,2.761601182529743
0.015,0.005884519781214263,0.65,472.7367342188383,2.674619350660618
0.015,0.005884519781214263,0.725,297.3747318427317,2.4733040634210286
0.015,0.005884519781214263,0.8,658.8909889320859,2.8188135681275464
0.015,0.006925514611100392,0.05,59.358340603883036,1.7734817514918244
0.015,0.006925514611100392,0.125,44.651357134275436,1.6498346633806655
0.015,0.006925514611100392,0.2,83.93472774151739,1.9239416860491974
0.015,0.006925514611100392,0.27499999999999997,238.60033706581058,2.377671052853678
0.015,0.006925514611100392,0.35,237.28768794881645,2.375275204738166
0.015,0.006925514611100392,0.425,314.45776015619504,2.4975623166712744
0.015,0.006925514611100392,0.49999999999999994,147.16376399982687,2.1678008872281938
0.015,0.006925514611100392,0.5750000000000001,121.07188893537013,2.083043318226026
0.015,0.006925514611100392,0.65,417.9026144322007,2.62107508813316
0.015,0.006925514611100392,0.725,2247.1225285881064,3.3516267537893474
0.015,0.006925514611100392,0.8,19.19172485006469,1.2831140085656934
0.015,0.008150665544821734,0.05,58.31163284940633,1.765755202758005
0.015,0.008150665544821734,0.125,52.62986565110843,1.721232261389941
0.015,0.008150665544821734,0.2,52.81053599113529,1.722720575305407
0.015,0.008150665544821734,0.27499999999999997,95.39801156850241,1.9795393225675453
0.015,0.008150665544821734,0.35,134.40867502172978,2.1284272999118787
0.015,0.008150665544821734,0.425,238.27245433020897,2.37707383830174
0.015,0.008150665544821734,0.49999999999999994,427.83272657959094,2.631274002370412
0.015,0.008150665544821734,0.5750000000000001,1004.0500923309828,3.001755380418807
0.015,0.008150665544821734,0.65,384.16103366743204,2.584513311276722
0.015,0.008150665544821734,0.725,83.40423646099335,1.921188110888385
0.015,0.008150665544821734,0.8,345.0591488906087,2.5378935467689185
0.015,0.009592550525713006,0.05,44.0070616711951,1.6435223719124723
0.015,0.009592550525713006,0.125,55.18018039384365,1.7417831159315467
0.015,0.009592550525713006,0.2,96.76015235684193,1.9856965435228684
0.015,0.009592550525713006,0.27499999999999997,222.72074228314642,2.3477606653484697
0.015,0.009592550525713006,0.35,261.7500484974677,2.4178867708176637
0.015,0.009592550525713006,0.425,442.84587906791694,2.6462526076761383
0.015,0.009592550525713006,0.49999999999999994,226.25052499794012,2.354589595627269
0.015,0.009592550525713006,0.5750000000000001,417.08192920711735,2.6202213736970776
0.015,0.009592550525713006,0.65,74.39106759074609,1.87152079133969
0.015,0.009592550525713006,0.725,2378.464743846591,3.376296718225393
0.015,0.009592550525713006,0.8,411.4549062998588,2.6143222453362376
0.015,0.011289510664171094,0.05,48.912676767915364,1.6894214304296464
0.015,0.011289510664171094,0.125,183.22497484236334,2.2629846707344994
0.015,0.011289510664171094,0.2,932.3810532600204,2.9695934397217405
0.015,0.011289510664171094,0.27499999999999997,308.08338934669484,2.4886682834855844
0.015,0.011289510664171094,0.35,309.6312236998622,2.4908447491581795
0.015,0.011289510664171094,0.425,1003.5908367881071,3.001556687367036
0.015,0.011289510664171094,0.49999999999999994,34.324552635610175,1.5356048856275981
0.015,0.011289510664171094,0.5750000000000001,530.0391624075033,2.7243079590142516
0.015,0.011289510664171094,0.65,340.7186899174901,2.532395957182214
0.015,0.011289510664171094,0.725,355.6946806692326,2.55107737046193
0.015,0.011289510664171094,0.8,117.29495203982725,2.069279322018158
0.015,0.013286669764708835,0.05,113.78531390952294,2.056086211974324
0.015,0.013286669764708835,0.125,455.35079330410224,2.65834609753269
0.015,0.013286669764708835,0.2,248.4549313486803,2.3952476210705482
0.015,0.013286669764708835,0.27499999999999997,38.81248453059096,1.5889714444248662
0.015,0.013286669764708835,0.35,280.64329626297194,2.4481546726708827
0.015,0.013286669764708835,0.425,533.2458703168564,2.7269275007730442
0.015,0.013286669764708835,0.49999999999999994,346.8627573134609,2.5401576721062806
0.015,0.013286669764708835,0.5750000000000001,333.51786810585907,2.523119106054375
0.015,0.013286669764708835,0.65,583.98263001632,2.766399929646215
0.015,0.013286669764708835,0.725,272.62686099692996,2.4355686431642494
0.015,0.013286669764708835,0.8,137.2293302738737,2.13744694383971
0.015,0.015637134211378124,0.05,159.22408095912297,2.2020087508185973
0.015,0.015637134211378124,0.125,115.48743360532721,2.0625347304379114
0.015,0.015637134211378124,0.2,135.05848226702926,2.130521864984654
0.015,0.015637134211378124,0.27499999999999997,311.24333124828394,2.4931000549372113
0.015,0.015637134211378124,0.35,155.7949178312783,2.1925532864955235
0.015,0.015637134211378124,0.425,133.01928569082992,2.123914611357372
0.015,0.015637134211378124,0.49999999999999994,220.9268263572322,2.344248453904686
0.015,0.015637134211378124,0.5750000000000001,339.8231116750363,2.531252912295258
0.015,0.015637134211378124,0.65,241.11537410130248,2.382224902930287
0.015,0.015637134211378124,0.725,266.66244284078715,2.4259618532767817
0.015,0.015637134211378124,0.8,273.51820665830263,2.4369862403150204
0.015,0.018403405117671374,0.05,74.93963738263881,1.8747115873019475
0.015,0.018403405117671374,0.125,92.4699042715097,1.9660004080302482
0.015,0.018403405117671374,0.2,44.087978381648,1.6443201850630211
0.015,0.018403405117671374,0.27499999999999997,120.02522624741259,2.079272533286571
0.015,0.018403405117671374,0.35,73.47128712841196,1.8661176482269863
0.015,0.018403405117671374,0.425,70.53455038171253,1.8484019023037206
0.015,0.018403405117671374,0.49999999999999994,161.73205435861584,2.2087961030940493
0.015,0.018403405117671374,0.5750000000000001,177.90521044850158,2.2501886677910354
0.015,0.018403405117671374,0.65,191.25810464020887,2.2816198476214353
0.015,0.018403405117671374,0.725,162.70128479906487,2.2113909824325018
0.015,0.018403405117671374,0.8,92.66829312568757,1.9669311637449494
0.015,0.021659040291327404,0.05,20.240346277998416,1.3062179382733683
0.015,0.021659040291327404,0.125,29.53743098467079,1.4703727198960612
0.015,0.021659040291327404,0.2,31.19215152823258,1.4940453319425422
0.015,0.021659040291327404,0.27499999999999997,27.66595634686748,1.4419456873457126
0.015,0.021659040291327404,0.35,61.30751704250233,1.7875137275352257
0.015,0.021659040291327404,0.425,88.80829891542734,1.948453551417904
0.015,0.021659040291327404,0.49999999999999994,113.77343350672214,2.0560408646216737
0.015,0.021659040291327404,0.5750000000000001,143.5220003339583,2.1569184787096742
0.015,0.021659040291327404,0.65,134.12495088760994,2.12750957594889
0.015,0.021659040291327404,0.725,121.00347450409132,2.0827978408642998
0.015,0.021659040291327404,0.8,125.63902769923864,2.0991245668024834
0.015,0.02549061020728657,0.05,25.649772966834973,1.4090835254054512
0.015,0.02549061020728657,0.125,10.826524470318228,1.0344890618320781
0.015,0.02549061020728657,0.2,16.6358881233421,1.221045991064226
0.015,0.02549061020728657,0.27499999999999997,14.405880050662455,1.1585397943395825
0.015,0.02549061020728657,0.35,33.44013448572015,1.5242680153665216
0.015,0.02549061020728657,0.425,75.11500156172548,1.8757266806107487
0.015,0.02549061020728657,0.49999999999999994,85.02842058756218,1.9295641120828186
0.015,0.02549061020728657,0.5750000000000001,93.43757452313697,1.970521556385519
0.015,0.02549061020728657,0.65,94.86849075333215,1.9771219915186664
0.015,0.02549061020728657,0.725,97.35521878720758,1.9883592371065597
0.015,0.02549061020728657,0.8,89.94852917443409,1.9539940662179833
0.015,0.03,0.05,10.839712965941352,1.0350177822984725
0.015,0.03,0.125,38.06728571547119,1.5805519117285332
0.015,0.03,0.2,15.318106495616787,1.185205084531016
0.015,0.03,0.27499999999999997,16.576740152097543,1.2194991297637021
0.015,0.03,0.35,73.1955798613542,1.8644848556515112
0.015,0.03,0.425,52.51860756090614,1.7203132030109025
0.015,0.03,0.49999999999999994,80.48169410361419,1.9056971095123971
0.015,0.03,0.5750000000000001,75.21248137002658,1.876289916925896
0.015,0.03,0.65,78.42786467480686,1.8944703908028642
0.015,0.03,0.725,68.66328884352599,1.836724601483957
0.015,0.03,0.8,65.7744834111033,1.8180574458479988
0.02,0.005,0.05,37.721410462631596,1.5765879233199427
0.02,0.005,0.125,259.5025289993543,2.414141594651191
0.02,0.005,0.2,111.86909421645038,2.048710121692394
0.02,0.005,0.27499999999999997,130.97167508765753,2.1171773820433515
0.02,0.005,0.35,111.59008739601603,2.0476256177161383
0.02,0.005,0.425,99.08847331680064,1.9960231371688038
0.02,0.005,0.49999999999999994,386.0222828752048,2.586612374750585
0.02,0.005,0.5750000000000001,263.59884976085226,2.4209435108400124
0.02,0.005,0.65,101.29015167216981,2.0055672214476106
0.02,0.005,0.725,163.8227110937522,2.214374108773469
0.02,0.005,0.8,149.49331181947113,2.1746217631964213
0.02,0.005884519781214263,0.05,131.1454681553095,2.117753287765509
