,semi_sigma_eta,share_sigma_eta,score_sigma_eta
ACF_LAG5_D8,3.207703301338641,0.3222986644313096,1.0338384899133468
IQR_over_sqrtRV1_log1p,2.5943126742423077,0.35737730621635,0.927148475003651
MAD_over_sqrtRV1_log1p,2.4934411991582848,0.35457509166153556,0.8841121417441979
ACF_LAG5_D5,2.6521929470875523,0.2875909887853942,0.7627467921025578
ACF_LAG4_D8,2.50684139168622,0.2893767193201832,0.7254215377822008
VR_SLOPE_10_50_D8,2.32371837293523,0.2999540997140348,0.6970088525427488
ACF_LAG3_D8,2.2172846941033213,0.2779570388956141,0.6163098879615266
VR_SLOPE_10_50_D5,1.6409997276273522,0.2831183290032556,0.4645971007806536
ACF_LAG4_D5,1.5715181644871623,0.2719536614596515,0.42738011888263466
ACFCONTR_L1_D2_minus_D1,0.9764971426127298,0.32871580505864,0.3209900443714051
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.8873002786487361,0.30286355411910926,0.2687309159624322
ACFCONTR_L1_D5_minus_D1,0.8605182673941618,0.3040570578670614,0.2616466526247301
ACFCONTR_L1_D8_minus_D1,0.8169888630954941,0.29437974383310855,0.24050497223255415
ACF_LAG1_Z,0.7302220677387335,0.32194330209691546,0.23509010375184536
ACF_SIGN_LAG1,0.7169004174772645,0.3266377809743809,0.23416676154438096
AR1_PHI,0.6945587063541845,0.32593646994390457,0.2263820129178879
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.7394754744398516,0.287245710186186,0.21241115782074202
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7161566729945472,0.2864747551582406,0.2051608075510531
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6844744484274283,0.2916911267688685,0.19965512310629632
ACC3VAR_NORM_g1_log1p,0.5872258951477052,0.3363655926363541,0.1975225862327714
SPECTRAL_TILT_log1p,0.5793062809143106,0.33867514173648655,0.19619663679749103
P_SIGN_FLIP_L1,0.5990523774293676,0.3268344095888551,0.19579093008992735
ACC3_OVER_ACC2_RATIO_g1_log1p,0.5922911674117916,0.32346876426583365,0.19158769200826023
HAAR_v1_over_v2,0.5731495165943962,0.32750740249623833,0.18771070942180534
HAAR_v1_over_RV1_log1p,0.5682786724441702,0.3280242575870152,0.1864091896310335
