,delta,share_delta
HAAR_v1_over_v4,0.6773959227204931,0.3836691076570073
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.675163593839659,0.5539050220183613
MA5_RESID_VAR_over_RV1_log1p,0.6642968174190256,0.40717158512986984
ACCVAR_NORM_g2_log1p,0.6632222426974862,0.5717687678033484
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.6626657944551467,0.5351687693345298
MA5_VAR_over_RV1_log1p,0.6505743359931668,0.3881744546348627
MA3_VAR_over_RV1_log1p,0.644712967778938,0.36818194514634023
ACC3_OVER_ACC2_RATIO_g1_log1p,0.6411481709970442,0.3501511047175958
P_SIGN_FLIP_L1,0.6362847315382134,0.34714784950038036
VR_CURV_10_30_50,0.6355125849993152,0.5378638954530742
HALF_LOG_a,0.6291317844146047,0.5381783201362157
LOG_a,0.6291317844146047,0.5381783201362157
ACF_LAG2_D5,0.6233455252494717,0.5895983434266607
ACF_LAG3_Z,0.620369056197368,0.4954303277143362
ACF_LAG2_D2,0.6198300968218301,0.566818851278028
ACC3VAR_NORM_g2_log1p,0.616861087549145,0.505611847309773
HAAR_v1_over_v2,0.5986250413269474,0.34206455153120985
ACCVAR_NORM_g1_log1p,0.597316857839353,0.34411531324569544
HAAR_v1_over_RV1_log1p,0.5957131559687735,0.34386010807166506
HAAR_v1_over_v3,0.5901994452088002,0.3479637445070918
MA3_RESID_VAR_over_RV1_log1p,0.5764370465949494,0.3499953196167955
ACC3VAR_NORM_g1_log1p,0.5578602470287498,0.3195448193797549
MA8_RESID_VAR_log1p,0.5512784464951962,0.4129518723511717
IQR_r1_log1p,0.5507643043967213,0.33432850192870744
MA3_RESID_VAR_log1p,0.5503467001556414,0.4246620442980435
MAD_r1_log1p,0.5497420001202075,0.33451781388016943
MA5_RESID_VAR_log1p,0.5466654204996856,0.41879804703841766
SPECTRAL_TILT_log1p,0.5395346865966658,0.31542379648720764
ACF_LAG3_D2,0.5300101326169255,0.5941037427701086
ACF_LAG5_D2,0.5183640292937415,0.5025707053891268
PROXY_a_sqrtNegLogRatio_21_log1p,0.5100965077506887,0.5110331865492129
COV_LAG4,0.5071817018841261,0.36577649351574015
ACF_LAG4_Z,0.5043742223441663,0.5192227133259002
BP_HF_log1p,0.49721143727896205,0.4097123356703598
PROXY_a_sqrtNegLogRatio_31_log1p,0.49662656776104036,0.5094170905430807
RV1_log1p,0.487949840868526,0.342154376401933
COV_LAG5,0.4845295927601079,0.3842585611741784
COV_LAG3,0.48330246256698467,0.3219828624622347
AR1_RESID_VAR,0.4820138603635267,0.36740490369522266
ACF_LAG4_D2,0.47307459622198467,0.5576606627381643
ACF_LAG5_Z,0.4670434845404116,0.5352500906491402
BP_MID_log1p,0.39272891376969954,0.3443406868131567
COV_LAG2,0.3919231921767507,0.2522095116309413
COV_LAG1,0.35764664246616856,0.24595462687567318
MA3_VAR_log1p,0.330885168911018,0.2577040461931836
MA5_VAR_log1p,0.25351223237960274,0.21057678944263122
MA3_VAR_D2,0.2326528256075866,0.19609831730782626
MA8_VAR_log1p,0.18934820497509788,0.16343747476617718
MA5_VAR_D2,0.1550882145097118,0.13511505788947648
MA3_VAR_D5,0.10674882176929817,0.09594729133862875
MA8_VAR_D2,0.10031322011851997,0.08857893528819664
BP_LF_log1p,0.09597990326516831,0.09156264257417078
MA3_VAR_D8,0.06447004883435194,0.05741438696730055
MA5_VAR_D5,0.062767077819661,0.05621028950149719
MA8_VAR_D5,0.03933701912039656,0.0365652002033402
MA5_VAR_D8,0.038738833699154596,0.03600955969197708
MA8_VAR_D8,0.026917193297924916,0.02529590235898866
VARFIT_SLOPE_10_50,0.016991832661614362,0.01595467507643144
VARFIT_TS_SLOPE_10_50,0.016497914864352568,0.015574070911740132
VR_AREA_DEF_5_50_log1p,0.0,0.0
