,semi_delta,share_delta,score_delta
ACC3_OVER_ACC2_RATIO_g6_log1p,0.8025631612411669,0.5126830828594414,0.41146055569454043
VR100_log1p,0.8487876405690981,0.4845034593024192,0.41124054806886645
VR50_log1p,0.8482958914657734,0.48421347359171363,0.4107563002402215
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.9799212163287446,0.41759677719504723,0.40921194184393445
IQR_over_sqrtRV1_log1p,1.7105927859597867,0.23564123474745519,0.40308619623365344
VR_SLOPE_10_50_D2,0.7658046139502894,0.514538951896526,0.39403630341950563
VR30_log1p,0.8260952638366017,0.4734273664056494,0.3910961051583425
VR_SLOPE_10_50,0.6887691034031325,0.5638301375295838,0.3883487782979163
MAD_over_sqrtRV1_log1p,1.6493017408106818,0.23453583590537047,0.3868203624412159
HAAR_v2_over_RV1_log1p,0.6850441643030821,0.564060674813273,0.3864064735936912
ACCVAR_NORM_g2_log1p,0.6632222426974862,0.5717687678033484,0.37920976448691496
ACFCONTR_L5_D8_minus_D1,0.6917667017497335,0.5461460604389174,0.37780565890344053
MA3_VAR_over_RV1_D2,0.8043182285581852,0.46509534675585806,0.3740846654133267
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.675163593839659,0.5539050220183613,0.37397650531175225
VR20_log1p,0.8047232332654856,0.45911779498390504,0.36946275642916837
ACF_LAG2_D5,0.6233455252494717,0.5895983434266607,0.36752348906951027
VR_AREA_DEF_5_50_D8,0.7385510190386486,0.4964366681699673,0.36664380716508077
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.6882733813540682,0.5271373810722533,0.36281462770872774
HAAR_v4_over_RV1_log1p,0.7843638088915283,0.4579260495373864,0.3591806204057951
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.6626657944551467,0.5351687693345298,0.3546380376986494
ACCVAR_NORM_g6_log1p,0.7485952758706512,0.47372526712227486,0.3546284970282973
ACF_LAG2_D2,0.6198300968218301,0.566818851278028,0.3513313834680986
ACFCONTR_L1_D2_minus_D1,1.0200791685024955,0.34338671406725185,0.35028163376052646
VR_CURV_10_30_50,0.6355125849993152,0.5378638954530742,0.3418192745771846
ACF_LAG2_Z,0.7430228394077295,0.45743558942243917,0.3398850904988091
ACF_LAG1_D2,0.8122280046402779,0.41735968672492885,0.33899122556588046
HALF_LOG_a,0.6291317844146047,0.5381783201362157,0.3385850868805518
LOG_a,0.6291317844146047,0.5381783201362157,0.3385850868805518
MA8_RESID_VAR_over_RV1_log1p,0.7343571753565074,0.4576148287755267,0.33605273306084754
BP_HF_over_MID_log1p,0.775859646618175,0.41618204204218545,0.32289885206768043
ACF_LAG3_D2,0.5300101326169255,0.5941037427701086,0.31488100349379705
ACC3VAR_NORM_g2_log1p,0.616861087549145,0.505611847309773,0.31189227400923886
MA8_VAR_over_RV1_log1p,0.7120846556196938,0.43671229923956856,0.31097612720889284
ACC3_OVER_ACC2_RATIO_g2_log1p,0.7563911059629701,0.40926912212007627,0.30956752391689835
VR10_log1p,0.7248635341684848,0.42501527376712706,0.3080780734184258
ACF_LAG3_Z,0.620369056197368,0.4954303277143362,0.3073496448156955
AR1_R2,0.6774311049781346,0.42413287299463903,0.28732080081030914
ACF_LAG1_Z,0.8043774444604137,0.354637228923789,0.2852621879122401
MA5_RESID_VAR_over_RV1_log1p,0.6642968174190256,0.40717158512986984,0.27048278814523236
ACF_SIGN_LAG1,0.7615053556269926,0.34696090767724513,0.2642125893894247
ACF_LAG4_D2,0.47307459622198467,0.5576606627381643,0.26381509285374144
ACF_LAG4_Z,0.5043742223441663,0.5192227133259002,0.2618825522571789
PROXY_a_sqrtNegLogRatio_21_log1p,0.5100965077506887,0.5110331865492129,0.2606762438034597
ACF_LAG5_D2,0.5183640292937415,0.5025707053891268,0.2605145758505057
HAAR_v1_over_v4,0.6773959227204931,0.3836691076570073,0.25989588920066664
AR1_PHI,0.7344957599645395,0.34467778317579384,0.2531643702965975
PROXY_a_sqrtNegLogRatio_31_log1p,0.49662656776104036,0.5094170905430807,0.2529900612352253
MA5_VAR_over_RV1_log1p,0.6505743359931668,0.3881744546348627,0.2525363380735855
ACF_LAG5_Z,0.4670434845404116,0.5352500906491402,0.24998506743734564
MA3_VAR_over_RV1_log1p,0.644712967778938,0.36818194514634023,0.2373716745379192
MA3_RESID_VAR_log1p,0.5503467001556414,0.4246620442980435,0.23371135476077703
MA5_RESID_VAR_log1p,0.5466654204996856,0.41879804703841766,0.2289424104887037
MA8_RESID_VAR_log1p,0.5512784464951962,0.4129518723511717,0.2276514666670365
ACC3_OVER_ACC2_RATIO_g1_log1p,0.6411481709970442,0.3501511047175958,0.22449874036228107
P_SIGN_FLIP_L1,0.6362847315382134,0.34714784950038036,0.22088487622341763
ACCVAR_NORM_g1_log1p,0.597316857839353,0.34411531324569544,0.2055458776423235
HAAR_v1_over_v3,0.5901994452088002,0.3479637445070918,0.20536800896086227
HAAR_v1_over_RV1_log1p,0.5957131559687735,0.34386010807166506,0.2048419901911351
HAAR_v1_over_v2,0.5986250413269474,0.34206455153120985,0.20476840629685422
BP_HF_log1p,0.49721143727896205,0.4097123356703598,0.20371365928958016
MA3_RESID_VAR_over_RV1_log1p,0.5764370465949494,0.3499953196167955,0.20175026836196094
COV_LAG5,0.4845295927601079,0.3842585611741784,0.18618464416030966
COV_LAG4,0.5071817018841261,0.36577649351574015,0.18551514449052112
IQR_r1_log1p,0.5507643043967213,0.33432850192870744,0.18413620480476245
MAD_r1_log1p,0.5497420001202075,0.33451781388016943,0.18389849207832365
ACC3VAR_NORM_g1_log1p,0.5578602470287498,0.3195448193797549,0.1782613518759473
AR1_RESID_VAR,0.4820138603635267,0.36740490369522266,0.17709425594662404
SPECTRAL_TILT_log1p,0.5395346865966658,0.31542379648720764,0.17018207918285608
RV1_log1p,0.487949840868526,0.342154376401933,0.16695417351779296
COV_LAG3,0.48330246256698467,0.3219828624622347,0.15561511033236475
BP_MID_log1p,0.39272891376969954,0.3443406868131567,0.13523254389884334
COV_LAG2,0.3919231921767507,0.2522095116309413,0.09884675689573785
COV_LAG1,0.35764664246616856,0.24595462687567318,0.08796484650110378
MA3_VAR_log1p,0.330885168911018,0.2577040461931836,0.08527044685368435
MA5_VAR_log1p,0.25351223237960274,0.21057678944263122,0.053383791978931006
MA3_VAR_D2,0.2326528256075866,0.19609831730782626,0.04562282761855888
MA8_VAR_log1p,0.18934820497509788,0.16343747476617718,0.030946592472638503
MA5_VAR_D2,0.1550882145097118,0.13511505788947648,0.020954753081455255
MA3_VAR_D5,0.10674882176929817,0.09594729133862875,0.010242260302354207
MA8_VAR_D2,0.10031322011851997,0.08857893528819664,0.008885638233429007
BP_LF_log1p,0.09597990326516831,0.09156264257417078,0.008788173576972093
MA3_VAR_D8,0.06447004883435194,0.05741438696730055,0.0037015083315762457
MA5_VAR_D5,0.062767077819661,0.05621028950149719,0.0035281556154061473
MA8_VAR_D5,0.03933701912039656,0.0365652002033402,0.0014383659795399217
MA5_VAR_D8,0.038738833699154596,0.03600955969197708,0.0013949683444872808
MA8_VAR_D8,0.026917193297924916,0.02529590235898866,0.0006808946934423327
VARFIT_SLOPE_10_50,0.016991832661614362,0.01595467507643144,0.00027109916906915236
VARFIT_TS_SLOPE_10_50,0.016497914864352568,0.015574070911740132,0.00025693969599327845
VR_AREA_DEF_5_50_log1p,0.0,0.0,0.0
