best_val_loss,val_mse_e,val_mse_eta,val_mse_d,depth,width,residual,dropout,weight_decay,lr,lambda_d,trunk_descending,eta_deep,delta_deep,head_hidden_factor,best_epoch,config_index,trunk_index,head_index
0.04786242917180061,1.2099673792880746e-06,1.1341418836916876e-06,0.0012799976838795504,3,128,True,0.0,0.0001,0.001,1.0,False,False,False,0.5,95,0,0,0
0.04985581338405609,1.0720686645707074e-06,1.3630465817513083e-06,0.001249815777665605,3,128,True,0.0,0.0001,0.001,1.0,False,False,False,1.0,57,1,0,1
0.04670574143528938,1.8031021652265693e-06,1.565710265622654e-06,0.00148617656094433,3,128,True,0.0,0.0001,0.001,1.0,False,False,True,0.5,114,2,0,2
0.04698348045349121,1.2243493300969225e-06,1.0779365496552696e-06,0.0011969082961667068,3,128,True,0.0,0.0001,0.001,1.0,False,False,True,1.0,59,3,0,3
0.04840479791164398,1.0312198149194162e-06,1.146129358342579e-06,0.0014271021386859965,3,128,True,0.0,0.0001,0.001,1.0,False,True,False,0.5,64,4,0,4
0.04644632339477539,1.2075325890536958e-06,1.279131663645641e-06,0.0011160330028004302,3,128,True,0.0,0.0001,0.001,1.0,False,True,False,1.0,144,5,0,5
0.04710786044597626,2.118304355899924e-06,1.263922934734466e-06,0.00123521029578795,3,128,True,0.0,0.0001,0.001,1.0,False,True,True,0.5,66,6,0,6
0.05081956833600998,1.2525565936505843e-06,1.1584253012410548e-06,0.0013602530435689862,3,128,True,0.0,0.0001,0.001,1.0,False,True,True,1.0,28,7,0,7
0.04830589517951012,1.116529935867165e-06,1.1268749558506706e-06,0.001251389421161467,3,128,True,0.0,0.0001,0.001,1.0,True,False,False,0.5,94,8,1,0
0.049177881330251694,1.8416862942117524e-06,1.2503753099317807e-06,0.0015590991786288944,3,128,True,0.0,0.0001,0.001,1.0,True,False,False,1.0,72,9,1,1
0.05204331874847412,1.5499486742862234e-06,1.243010701490832e-06,0.0014049039806870063,3,128,True,0.0,0.0001,0.001,1.0,True,False,True,0.5,49,10,1,2
0.04785718023777008,1.8188267764712036e-06,1.0907436580657714e-06,0.001200488435350986,3,128,True,0.0,0.0001,0.001,1.0,True,False,True,1.0,83,11,1,3
0.04720088839530945,2.7863169069823613e-06,1.7036282708197116e-06,0.0012871782588216637,3,128,True,0.0,0.0001,0.001,1.0,True,True,False,0.5,98,12,1,4
0.05376334488391876,1.423945953400767e-06,1.1261854923459687e-06,0.001333426008165817,3,128,True,0.0,0.0001,0.001,1.0,True,True,False,1.0,33,13,1,5
