best_val_loss,val_mse_e,val_mse_eta,val_mse_d,best_epoch,depth,width,residual,trunk_descending,lambda_d,lr,weight_decay,dropout,head_type,head_hidden_factor,eta_deep,delta_deep,config_index,seed_index
0.04646356403827667,1.0195143796734872e-06,1.0110608852764663e-06,0.0011956195932061398,76,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,1
0.0449741929769516,7.719373666598877e-07,1.0545129522818271e-06,0.0012585434817141757,100,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,2
0.04540850967168808,7.484459761169146e-07,1.0631490860439568e-06,0.0012961831452049648,141,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,3
0.0462753102183342,7.044636667304886e-07,9.62059979775669e-07,0.0012010995483940543,82,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,4
0.04595864936709404,1.0686072255758628e-06,1.0523943340391616e-06,0.0011530209101831188,84,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,5
0.047066278755664825,6.192110851529601e-07,1.0165410043412438e-06,0.0012767397454708843,99,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,6
0.04512406513094902,1.0371744814725752e-06,9.923251820323595e-07,0.001210924674035778,117,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,7
0.04629497975111008,7.244422548640843e-07,1.1627221636833831e-06,0.0012118172358381843,73,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,8
0.04495352879166603,8.702181035856446e-07,1.0229965460308063e-06,0.001213214943310371,167,2,128,False,False,1.0,0.0003,0.0001,0.0,delta_deep,0.5,True,True,3,9
0.04699105769395828,4.743571792062471e-06,1.1838993395761707e-06,0.001295207778635998,104,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,0
0.04944702237844467,1.7113849614947655e-06,1.2347841349713948e-06,0.0012640338131607478,40,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,1
0.051709339022636414,3.886127496370259e-06,1.167289062493518e-06,0.001331253821582471,39,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,2
0.04922967031598091,3.6431687455210173e-06,1.3644062365724653e-06,0.0013415835992260372,68,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,3
0.053006913512945175,2.136825297552989e-06,1.37350174928771e-06,0.0013253380925180207,39,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,4
0.0498204343020916,3.185023844493539e-06,1.1351138370217023e-06,0.001332169031585268,76,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,5
0.04850941151380539,1.8595521560896451e-06,1.0735438694274556e-06,0.0013115250307184638,86,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,6
0.05005341023206711,2.2721086530239814e-06,1.2098409909728782e-06,0.001301756768349943,48,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,7
0.0490371435880661,2.3417991026194484e-06,1.2445441599074566e-06,0.0013137385619092824,66,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,8
0.04989559203386307,2.2641688366164667e-06,1.244585162515349e-06,0.001665908087963769,40,4,256,True,True,1.0,0.003,0.0,0.0,separate,1.0,False,False,4,9
