,sigma_e,sigma_eta,delta
VR10_D8,0.16381844746364665,0.1218229810673027,0.3087727917996552
VR50_D8,0.25824938848109813,0.17233515371520897,0.36097300407438815
VR_SLOPE_10_50_D8,0.0022089578732587918,0.0016925302990654268,0.0017411428191468246
VR_AREA_DEF_5_50_D8,2.008297704388143,1.425340229531142,3.3850434848471505
ACF_LAG1_D8,0.06425869197569464,0.05262728288147382,0.14785433246393498
ACF_LAG2_D8,0.01574994836904554,0.011726167530936263,0.02507007773278306
ACF_LAG3_D8,0.012416919971586303,0.00999779196811501,0.013554127014106934
ACF_LAG4_D8,0.011972092806253488,0.009422665208685746,0.01116717450962876
ACF_LAG5_D8,0.01078805670639861,0.009627579792590175,0.009455972834474963
MA3_VAR_D8,0.012349201156385207,0.00023108479472780385,0.000766285200803423
MA3_VAR_over_RV1_D8,0.030712218469106246,0.025710209631327148,0.07014895038204993
MA5_VAR_D8,0.007761988393771768,0.00011893977524052768,0.00029438959295055545
MA5_VAR_over_RV1_D8,0.024606130659635857,0.019809574181404378,0.0525308543498521
MA8_VAR_D8,0.0049670856990568,7.285063729730549e-05,0.00013079840104151337
MA8_VAR_over_RV1_D8,0.018939879055311675,0.01422987415008159,0.03714294772472641
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.006124803208459225,0.00509578281169689,0.012508475172308749
ACFCONTR_L1_D8_minus_D1,0.19507786023431,0.196383035591577,0.2756469460195112
ACFCONTR_L2_D8_minus_D1,0.10492500730387443,0.10131152373480032,0.23859309538163812
ACFCONTR_L3_D8_minus_D1,0.05990802600636347,0.055095812627454395,0.15152086576892282
ACFCONTR_L4_D8_minus_D1,0.03958840878780981,0.0339339927933914,0.09784424478397039
ACFCONTR_L5_D8_minus_D1,0.029476474453571738,0.024217438187372084,0.06461267888698621
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.09100924723757137,0.09230871855271922,0.1389049068732833
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.08110090675339682,0.08146486087588292,0.1418496724809974
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.06452771587020954,0.0633332979495522,0.13381735423938293
