,sigma_e,sigma_eta,delta
HL_PROXY31_log1p,0.08832095088107474,0.05895742220372639,1.2771638135962278
PROXY_a_sqrtNegLogRatio_21_log1p,0.24772822067454262,0.2403423596941132,0.5100965077506887
PROXY_a_sqrtNegLogRatio_31_log1p,0.2518674208039372,0.22639785738994705,0.49662656776104036
VR10_D2,0.37817100110797724,0.3717392847313547,0.8365851384215386
VR50_D2,0.376545160998555,0.3489808651749718,0.8632055666380958
VR_SLOPE_10_50_D2,0.4252695526837986,0.29725749635685794,0.7658046139502894
VR_AREA_DEF_5_50_D2,0.41841693247996986,0.3967254373079134,0.9670118733373874
ACF_LAG1_D2,0.5743017636552395,0.5595805784260607,0.8122280046402779
ACF_LAG2_D2,0.24622960727188556,0.2274644358033762,0.6198300968218301
ACF_LAG3_D2,0.1985589118895543,0.1635480967609191,0.5300101326169255
ACF_LAG4_D2,0.21233619295079317,0.162909036540924,0.47307459622198467
ACF_LAG5_D2,0.29406613283895333,0.218994916437859,0.5183640292937415
MA3_VAR_D2,0.9019865718734762,0.05176968955961072,0.2326528256075866
MA3_VAR_over_RV1_D2,0.4659872048309362,0.45905658703962715,0.8043182285581852
MA5_VAR_D2,0.9602245949426436,0.0325105118863969,0.1550882145097118
MA5_VAR_over_RV1_D2,0.416740146467131,0.4135812792296885,0.8449305372090512
MA8_VAR_D2,1.007334755212335,0.02482465816893329,0.10031322011851997
MA8_VAR_over_RV1_D2,0.3848330934888562,0.375571336080178,0.8300047240389224
VR_SLOPE_10_50_CONTR_D2_minus_D1,0.28824851146238845,0.2555037141987263,0.675163593839659
ACFCONTR_L1_D2_minus_D1,0.97406619400619,0.9764971426127298,1.0200791685024955
ACFCONTR_L2_D2_minus_D1,0.6272621833215566,0.6193254312840772,1.1063213837430403
ACFCONTR_L3_D2_minus_D1,0.4694707636203754,0.4513276671912782,1.113825878035855
ACFCONTR_L4_D2_minus_D1,0.4059922673101435,0.3745490940404261,1.000429719715285
ACFCONTR_L5_D2_minus_D1,0.41577453213004606,0.3550651874849801,0.9224027252801422
MA3_VAR_over_RV1_CONTR_D2_minus_D1,0.885733926659666,0.8873002786487361,1.1566688460514138
MA5_VAR_over_RV1_CONTR_D2_minus_D1,0.6821770815910395,0.6844744484274283,0.9799212163287446
MA8_VAR_over_RV1_CONTR_D2_minus_D1,0.5489789921457516,0.5591238731335701,0.9425492328175658
VR10_D5,0.35983312919332255,0.30162627066358455,0.7958096927102284
VR50_D5,0.45363801558571937,0.35719395657060815,0.8408119261939604
VR_SLOPE_10_50_D5,2.0690682163957317,1.6409997276273522,2.086094153303363
VR_AREA_DEF_5_50_D5,0.4055312108410704,0.3234833775928366,0.8116668227135256
ACF_LAG1_D5,0.3682818506856345,0.33493316072238977,0.8360106128772089
ACF_LAG2_D5,0.24671428240112572,0.18717777145467543,0.6233455252494717
ACF_LAG3_D5,0.7088287419390158,0.5732838370688105,1.0535998591422113
ACF_LAG4_D5,1.9358998810293222,1.5715181644871623,2.271206724792222
ACF_LAG5_D5,3.3242830780476442,2.6521929470875523,3.2456242857559103
MA3_VAR_D5,0.9802954691474722,0.025533461720887645,0.10674882176929817
MA3_VAR_over_RV1_D5,0.37181574648405136,0.3293156808419243,0.8420285902351279
MA5_VAR_D5,1.0351007112699353,0.01877968553216217,0.062767077819661
MA5_VAR_over_RV1_D5,0.35321495649985796,0.3020035966556533,0.7923111581245115
MA8_VAR_D5,1.0207980480678023,0.015669766413302814,0.03933701912039656
MA8_VAR_over_RV1_D5,0.3538236433853144,0.30012862992940453,0.7925030362886841
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.3109034641420359,0.2646677844175306,0.6626657944551467
ACFCONTR_L1_D5_minus_D1,0.848657421591027,0.8605182673941618,1.120945319980471
ACFCONTR_L2_D5_minus_D1,0.5350470334031927,0.523885257483338,1.1942526340014028
ACFCONTR_L3_D5_minus_D1,0.3914210539011474,0.3639785737055518,1.0163092643414817
ACFCONTR_L4_D5_minus_D1,0.3600922926183305,0.31286421045773644,0.9564045553760482
ACFCONTR_L5_D5_minus_D1,0.32211619800608127,0.26605346722539797,0.8029148300918144
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.733555355192616,0.7394754744398516,1.1013347682393109
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6250257307925832,0.6259649629822452,1.0798795705663562
MA8_VAR_over_RV1_CONTR_D5_minus_D1,0.5195334530271618,0.5265454295653451,1.0624950971927207
VR10_D8,0.42162788063557455,0.3135420101665465,0.7947042584035494
VR50_D8,0.64934369520523,0.4333204666441473,0.9076325241798268
VR_SLOPE_10_50_D8,3.0327350700697644,2.32371837293523,2.390459751881416
VR_AREA_DEF_5_50_D8,0.43817171706903973,0.31098167090297796,0.7385510190386486
ACF_LAG1_D8,0.32149186017888426,0.26329890244458987,0.7397281662271776
ACF_LAG2_D8,0.5892665125384973,0.43872130146009575,0.9379686160559371
ACF_LAG3_D8,2.7537927063004317,2.2172846941033213,3.0059995713211394
ACF_LAG4_D8,3.185100725446565,2.50684139168622,2.970957225893547
ACF_LAG5_D8,3.5943493440352254,3.207703301338641,3.1505275398349544
MA3_VAR_D8,1.0389781778150626,0.019441910120876187,0.06447004883435194
MA3_VAR_over_RV1_D8,0.33511669477453854,0.2805372227433752,0.765431009732583
MA5_VAR_D8,1.021402878231485,0.015651328319990918,0.038738833699154596
MA5_VAR_over_RV1_D8,0.35857572225924267,0.28867734094403286,0.7655120303125323
MA8_VAR_D8,1.0221837944825953,0.014992038667095173,0.026917193297924916
MA8_VAR_over_RV1_D8,0.4002995255490274,0.30075228327831016,0.7850263620099783
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.3370146205947495,0.2803932228459788,0.6882733813540682
ACFCONTR_L1_D8_minus_D1,0.8115590981055515,0.8169888630954941,1.1467410327263752
ACFCONTR_L2_D8_minus_D1,0.5314229728566219,0.5131214427448864,1.20842357135668
ACFCONTR_L3_D8_minus_D1,0.3795464242333725,0.34905871661938886,0.9599582331961798
ACFCONTR_L4_D8_minus_D1,0.3328650927099554,0.28532194152418966,0.8226886254943544
ACFCONTR_L5_D8_minus_D1,0.3155857931169074,0.25928064937546885,0.6917667017497335
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7060750136637807,0.7161566729945472,1.077662841914271
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6000207575215663,0.6027134527948909,1.0494672790162025
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.5094734395695677,0.5000430080392652,1.0565442588354912
